##############################################
step: -1
Table for all datasets except crossNER
ACE 2004            : 27.3%
ACE 2005            : 26.8%
AnatEM              : 39.1%
Broad Tweet Corpus  : 61.3%
CoNLL 2003          : 60.3%
FabNER              : 23.9%
FindVehicle         : 30.3%
GENIA_NER           : 50.0%
HarveyNER           : 23.4%
MultiNERD           : 49.2%
Ontonotes           : 22.4%
PolyglotNER         : 38.9%
TweetNER7           : 37.6%
WikiANN en          : 57.3%
WikiNeural          : 63.9%
bc2gm               : 53.6%
bc4chemd            : 42.5%
bc5cdr              : 65.1%
ncbi                : 50.8%
Average             : 43.3%

Table for zero-shot benchmark
CrossNER_AI         : 47.7%
CrossNER_literature : 57.1%
CrossNER_music      : 67.9%
CrossNER_politics   : 67.8%
CrossNER_science    : 54.2%
mit-movie           : 42.0%
mit-restaurant      : 37.3%
Average             : 53.4%
##############################################

